Date,Year,Month,Month Name,Month Short,Quarter,Day,Day of Week,Day Name,Week of Year,Is Weekend
06/14/2024,2024,6,June,Jun,Q2,14,5,Friday,24,1
06/15/2024,2024,6,June,Jun,Q2,15,6,Saturday,24,1
06/21/2024,2024,6,June,Jun,Q2,21,5,Friday,25,1
06/22/2024,2024,6,June,Jun,Q2,22,6,Saturday,25,1
06/28/2024,2024,6,June,Jun,Q2,28,5,Friday,26,1
06/29/2024,2024,6,June,Jun,Q2,29,6,Saturday,26,1
07/05/2024,2024,7,July,Jul,Q3,5,5,Friday,27,1
07/06/2024,2024,7,July,Jul,Q3,6,6,Saturday,27,1
07/12/2024,2024,7,July,Jul,Q3,12,5,Friday,28,1
07/13/2024,2024,7,July,Jul,Q3,13,6,Saturday,28,1
07/19/2024,2024,7,July,Jul,Q3,19,5,Friday,29,1
07/20/2024,2024,7,July,Jul,Q3,20,6,Saturday,29,1
07/26/2024,2024,7,July,Jul,Q3,26,5,Friday,30,1
07/27/2024,2024,7,July,Jul,Q3,27,6,Saturday,30,1
08/02/2024,2024,8,August,Aug,Q3,2,5,Friday,31,1
08/03/2024,2024,8,August,Aug,Q3,3,6,Saturday,31,1
08/09/2024,2024,8,August,Aug,Q3,9,5,Friday,32,1
08/10/2024,2024,8,August,Aug,Q3,10,6,Saturday,32,1
08/16/2024,2024,8,August,Aug,Q3,16,5,Friday,33,1
08/17/2024,2024,8,August,Aug,Q3,17,6,Saturday,33,1
08/23/2024,2024,8,August,Aug,Q3,23,5,Friday,34,1
08/24/2024,2024,8,August,Aug,Q3,24,6,Saturday,34,1
08/30/2024,2024,8,August,Aug,Q3,30,5,Friday,35,1
08/31/2024,2024,8,August,Aug,Q3,31,6,Saturday,35,1
09/06/2024,2024,9,September,Sep,Q3,6,5,Friday,36,1
09/07/2024,2024,9,September,Sep,Q3,7,6,Saturday,36,1
09/13/2024,2024,9,September,Sep,Q3,13,5,Friday,37,1
09/14/2024,2024,9,September,Sep,Q3,14,6,Saturday,37,1
09/20/2024,2024,9,September,Sep,Q3,20,5,Friday,38,1
09/21/2024,2024,9,September,Sep,Q3,21,6,Saturday,38,1
09/27/2024,2024,9,September,Sep,Q3,27,5,Friday,39,1
09/28/2024,2024,9,September,Sep,Q3,28,6,Saturday,39,1
10/04/2024,2024,10,October,Oct,Q4,4,5,Friday,40,1
10/05/2024,2024,10,October,Oct,Q4,5,6,Saturday,40,1
10/11/2024,2024,10,October,Oct,Q4,11,5,Friday,41,1
10/12/2024,2024,10,October,Oct,Q4,12,6,Saturday,41,1
10/18/2024,2024,10,October,Oct,Q4,18,5,Friday,42,1
10/19/2024,2024,10,October,Oct,Q4,19,6,Saturday,42,1
10/25/2024,2024,10,October,Oct,Q4,25,5,Friday,43,1
10/26/2024,2024,10,October,Oct,Q4,26,6,Saturday,43,1
11/01/2024,2024,11,November,Nov,Q4,1,5,Friday,44,1
11/02/2024,2024,11,November,Nov,Q4,2,6,Saturday,44,1
11/08/2024,2024,11,November,Nov,Q4,8,5,Friday,45,1
11/09/2024,2024,11,November,Nov,Q4,9,6,Saturday,45,1
11/15/2024,2024,11,November,Nov,Q4,15,5,Friday,46,1
11/16/2024,2024,11,November,Nov,Q4,16,6,Saturday,46,1
11/22/2024,2024,11,November,Nov,Q4,22,5,Friday,47,1
11/23/2024,2024,11,November,Nov,Q4,23,6,Saturday,47,1
11/29/2024,2024,11,November,Nov,Q4,29,5,Friday,48,1
11/30/2024,2024,11,November,Nov,Q4,30,6,Saturday,48,1
12/06/2024,2024,12,December,Dec,Q4,6,5,Friday,49,1
12/07/2024,2024,12,December,Dec,Q4,7,6,Saturday,49,1
12/13/2024,2024,12,December,Dec,Q4,13,5,Friday,50,1
12/14/2024,2024,12,December,Dec,Q4,14,6,Saturday,50,1
12/20/2024,2024,12,December,Dec,Q4,20,5,Friday,51,1
12/21/2024,2024,12,December,Dec,Q4,21,6,Saturday,51,1
12/27/2024,2024,12,December,Dec,Q4,27,5,Friday,52,1
12/28/2024,2024,12,December,Dec,Q4,28,6,Saturday,52,1
01/03/2025,2025,1,January,Jan,Q1,3,5,Friday,1,1
01/04/2025,2025,1,January,Jan,Q1,4,6,Saturday,1,1
01/10/2025,2025,1,January,Jan,Q1,10,5,Friday,2,1
01/11/2025,2025,1,January,Jan,Q1,11,6,Saturday,2,1
01/17/2025,2025,1,January,Jan,Q1,17,5,Friday,3,1
01/18/2025,2025,1,January,Jan,Q1,18,6,Saturday,3,1
01/24/2025,2025,1,January,Jan,Q1,24,5,Friday,4,1
01/25/2025,2025,1,January,Jan,Q1,25,6,Saturday,4,1
01/31/2025,2025,1,January,Jan,Q1,31,5,Friday,5,1
02/01/2025,2025,2,February,Feb,Q1,1,6,Saturday,5,1
02/07/2025,2025,2,February,Feb,Q1,7,5,Friday,6,1
02/08/2025,2025,2,February,Feb,Q1,8,6,Saturday,6,1
02/14/2025,2025,2,February,Feb,Q1,14,5,Friday,7,1
02/15/2025,2025,2,February,Feb,Q1,15,6,Saturday,7,1
02/21/2025,2025,2,February,Feb,Q1,21,5,Friday,8,1
02/22/2025,2025,2,February,Feb,Q1,22,6,Saturday,8,1
02/28/2025,2025,2,February,Feb,Q1,28,5,Friday,9,1
03/01/2025,2025,3,March,Mar,Q1,1,6,Saturday,9,1
03/07/2025,2025,3,March,Mar,Q1,7,5,Friday,10,1
03/08/2025,2025,3,March,Mar,Q1,8,6,Saturday,10,1
03/14/2025,2025,3,March,Mar,Q1,14,5,Friday,11,1
03/15/2025,2025,3,March,Mar,Q1,15,6,Saturday,11,1
03/21/2025,2025,3,March,Mar,Q1,21,5,Friday,12,1
03/22/2025,2025,3,March,Mar,Q1,22,6,Saturday,12,1
03/28/2025,2025,3,March,Mar,Q1,28,5,Friday,13,1
03/29/2025,2025,3,March,Mar,Q1,29,6,Saturday,13,1
04/04/2025,2025,4,April,Apr,Q2,4,5,Friday,14,1
04/05/2025,2025,4,April,Apr,Q2,5,6,Saturday,14,1
04/11/2025,2025,4,April,Apr,Q2,11,5,Friday,15,1
04/12/2025,2025,4,April,Apr,Q2,12,6,Saturday,15,1
04/18/2025,2025,4,April,Apr,Q2,18,5,Friday,16,1
04/19/2025,2025,4,April,Apr,Q2,19,6,Saturday,16,1
04/25/2025,2025,4,April,Apr,Q2,25,5,Friday,17,1
04/26/2025,2025,4,April,Apr,Q2,26,6,Saturday,17,1
05/02/2025,2025,5,May,May,Q2,2,5,Friday,18,1
05/03/2025,2025,5,May,May,Q2,3,6,Saturday,18,1
05/09/2025,2025,5,May,May,Q2,9,5,Friday,19,1
05/10/2025,2025,5,May,May,Q2,10,6,Saturday,19,1
05/16/2025,2025,5,May,May,Q2,16,5,Friday,20,1
05/17/2025,2025,5,May,May,Q2,17,6,Saturday,20,1
05/23/2025,2025,5,May,May,Q2,23,5,Friday,21,1
05/24/2025,2025,5,May,May,Q2,24,6,Saturday,21,1
05/30/2025,2025,5,May,May,Q2,30,5,Friday,22,1
05/31/2025,2025,5,May,May,Q2,31,6,Saturday,22,1
06/06/2025,2025,6,June,Jun,Q2,6,5,Friday,23,1
06/07/2025,2025,6,June,Jun,Q2,7,6,Saturday,23,1
06/13/2025,2025,6,June,Jun,Q2,13,5,Friday,24,1
06/14/2025,2025,6,June,Jun,Q2,14,6,Saturday,24,1
06/20/2024,2024,6,June,Jun,Q2,20,4,Thursday,25,0
06/27/2024,2024,6,June,Jun,Q2,27,4,Thursday,26,0
